SiteCode,pExc,durExc,first.week,daysSuitable,cum.exp,IWV,AWV,MWV,VAR,RNG,IWI,AWA,MWA,AWM,MWM,AWI,Species,LifeHistory,Life.stage,Start,End,Thresh.hi,Thresh.lo,year
MAR,0,0,1900-01-01,144,1540.92011363636,0,0.890262132619883,5.38145821866733,20.765702368703,15.3412916666667,0.2375,8.53788199794556,14.5466607142857,9.57035381355932,15.5787916666667,7.4080331920904,Chinook,fall_outmigrants,prespawn,1994-06-01,1994-11-30,20,4,1994
MAR,0,0,1900-01-01,139,1375.3601634058,0.0268106507109789,0.763749774231184,5.20574726793981,13.1969625775572,12.22475,0.987375,7.62227160519821,12.4674880952381,8.73665230696799,13.212125,6.57680944485384,Chinook,fall_outmigrants,prespawn,1995-06-01,1995-11-30,20,4,1995
STH,0,0,1900-01-01,169,1779.36067424242,0.0202270132275132,0.71911928740826,4.73345473429233,13.4355883702454,13.0585416666667,2.32045833333333,9.83043957737178,14.7150476190476,10.8877391071734,15.379,8.78297292843691,Chinook,fall_outmigrants,prespawn,1995-06-01,1995-11-30,20,4,1995
VAL,0,0,1900-01-01,148,1739.22914285714,0.0131356197089947,1.0661114875138,7.07977535408399,19.9201473655078,15.07075,1.083,9.62459453188055,15.3096845238095,10.8868411016949,16.15375,8.37545127118644,Chinook,fall_outmigrants,prespawn,1995-06-01,1995-11-30,20,4,1995
MAR,0,0,1900-01-01,137,1350.01495833333,0.0239535413359788,0.624441801081461,3.91558342303241,15.6830884620374,13.330375,0.0286666666666667,7.49850040355125,12.8272738095238,8.45980743879473,13.3590416666667,6.50332179849341,Chinook,fall_outmigrants,prespawn,1996-06-01,1996-11-30,20,4,1996
MAR,0,0,1900-01-01,109,1123.11241944444,0.0504211377314815,0.739928711817806,3.74199689086861,15.8852227877408,13.588625,0.009,7.33129327248677,12.7559821428571,8.32237351851852,13.597625,6.15516085185185,Chinook,fall_outmigrants,prespawn,1997-06-01,1997-11-30,20,4,1997
MAR,0,0,1900-01-01,139,1511.92214583333,0.0624940074404762,0.634673903197326,2.8296132161045,17.9133351428784,14.7962083333333,0.108833333333333,8.40194483118106,14.0796547619048,9.37177118644068,14.9050416666667,7.31854178436912,Chinook,fall_outmigrants,prespawn,1998-06-01,1998-11-30,20,4,1998
STH,0,0,1900-01-01,160,1796.46889646465,0.0211151746858467,0.595852361874081,2.46842469295635,18.0412017334571,14.37425,1.85741666666667,9.9553472426036,15.6846964285714,10.9101259844205,16.2316666666667,8.95737421531701,Chinook,fall_outmigrants,prespawn,1998-06-01,1998-11-30,20,4,1998
VAL,0,0,1900-01-01,148,1803.59172060834,0.0766895760582011,0.912116584657483,4.89784771494709,21.4638933032349,16.996625,0.858791666666667,11.0748119602222,16.8694821428571,12.1849280708874,17.8554166666667,9.76857457510965,Chinook,fall_outmigrants,prespawn,1998-06-01,1998-11-30,20,4,1998
SEC,0,0,1900-01-01,133,1509.12060168998,0.0375798940145501,0.653468518957561,3.41811059598214,23.5692684847871,15.9004551282051,0.00146153846153846,9.37352124631134,15.3471845238095,10.329501048218,15.9019166666667,8.41206379469587,Chinook,fall_outmigrants,prespawn,1998-06-01,1998-11-30,20,4,1998
MAR,0,0,1900-01-01,140,1379.90821590909,0.0307237392526455,0.657455668808182,4.31654934052579,12.8178302268096,13.04075,0.0546666666666667,7.67588637586519,12.49375,8.65674293785311,13.0954166666667,6.65095294042116,Chinook,fall_outmigrants,prespawn,1999-06-01,1999-11-30,20,4,1999
STH,0,0,1900-01-01,168,1760.870375,0.00975138359788363,0.619400379129394,4.65129130406746,13.6890064084731,14.3840416666667,0.621333333333333,9.7608710653753,14.3023392857143,10.6516278248588,15.005375,8.80222904896422,Chinook,fall_outmigrants,prespawn,1999-06-01,1999-11-30,20,4,1999
VAL,0,0,1900-01-01,155,1703.95491666667,0.0314947585978836,0.912860249765996,7.34410071899802,19.0089771212964,15.85975,0.4845,9.47749233252623,15.1186369047619,10.6004550376648,16.34425,8.36942208097928,Chinook,fall_outmigrants,prespawn,1999-06-01,1999-11-30,20,4,1999
SEC,0,0,1900-01-01,128,1299.10183514493,1.66744378306878e-05,1.16064603216871,9.0705707567791,19.7964281937433,15.0639583333333,0.00733333333333333,7.26737578370823,14.0329107142857,8.50190941005486,15.0712916666667,6.04412547080979,Chinook,fall_outmigrants,prespawn,1999-06-01,1999-11-30,20,4,1999
SFS,0,0,1900-01-01,139,1397.51201449275,0.0267206187535007,1.09607233446308,8.50942816203704,18.2578597685373,15.3134583333333,0,7.80281821478284,14.1863154761905,9.02598469868173,15.3134583333333,6.65422301031688,Chinook,fall_outmigrants,prespawn,1999-06-01,1999-11-30,20,4,1999
MAR,0,0,1900-01-01,147,1505.98291666667,0.0193804564318783,0.780456016872553,4.23212264219577,19.0801826488062,14.7287916666667,0,8.36215388754372,13.7871785714286,9.41740913370998,14.7287916666667,7.23853837099812,Chinook,fall_outmigrants,prespawn,2000-06-01,2000-11-30,20,4,2000
STH,0,0,1900-01-01,153,1822.67245833333,0.0353294290674603,0.575113663561097,3.018411400959,21.0775406899036,15.4979166666667,0.378458333333333,10.0902120325531,15.1253988095238,10.9758246233522,15.876375,9.07602754237288,Chinook,fall_outmigrants,prespawn,2000-06-01,2000-11-30,20,4,2000
VAL,0,0,1900-01-01,152,1852.66515362319,0.001058734375,0.942783978564624,5.96587517642196,29.1110686630258,17.817625,0.400375,10.2831231775859,17.2009940476191,11.3765991259314,18.218,9.06622012404815,Chinook,fall_outmigrants,prespawn,2000-06-01,2000-11-30,20,4,2000
SEC,0,0,1900-01-01,138,1555.40683333333,0.000135901537698413,1.3827851558252,9.29214139806548,24.7633217706745,18.2335833333333,0.029,9.63984561245882,17.5137321428571,11.0773121069182,18.2625833333333,8.21135613207547,Chinook,fall_outmigrants,prespawn,2000-06-01,2000-11-30,20,4,2000
SFS,0,0,1900-01-01,145,1606.52734057971,2.85714285714285e-07,1.18486910466789,9.85916940145503,27.9145265621871,17.9300416666667,0.029,8.95457419348236,16.98395936853,10.2379265536723,17.9590416666667,7.71577005035618,Chinook,fall_outmigrants,prespawn,2000-06-01,2000-11-30,20,4,2000
MAR,0,0,1900-01-01,149,1661.2125932971,0.0567340920138888,1.02937745040695,7.34508179456019,18.3206451836563,15.7343333333333,0.009,9.2352513108105,14.910005952381,10.4046765536723,15.7433333333333,7.93395692090396,Chinook,fall_outmigrants,prespawn,2001-06-01,2001-11-30,20,4,2001
STH,0,0,1900-01-01,171,1963.95325,0.026565964616402,0.900698447691537,5.63540386598876,17.0863562492769,16.00625,0.116666666666667,10.893673661555,15.6665654761905,11.9489910546139,16.1229166666667,9.6282766007533,Chinook,fall_outmigrants,prespawn,2001-06-01,2001-11-30,20,4,2001
VAL,0,0,1900-01-01,156,2065.83720833333,0.0118921990740741,1.40933286598315,9.17026367675264,28.5852272721648,18.5124166666667,0.370916666666667,11.4789896085553,18.1515892857143,12.8309573917137,18.8833333333333,9.94605555555556,Chinook,fall_outmigrants,prespawn,2001-06-01,2001-11-30,20,4,2001
